colloc_word_value	colloc_word_id	colloc_lexeme_id	delete_colloc_lexeme_ids
ainus kord	1764528	2967580	3288035
ainus kriteerium	1864786	3067839	3288216
ainus kuldmedal	1866058	3069111	3288215
ainus külastaja	2071780	3274834	3078296
ainus küsimärk	1876468	3079521	3288209
ainus lahend	1878363	3081416	3288208
ainus lahendus	1764523	2967575	3288027
ainus laps	1764533	2967585	3288040
ainus lapselaps	1880591	3083644	3288207
ainus lask	1880806	3083859	3288206
ainus lennuväli	1883281	3086334	3288205
ainus liige	1884806	3087859	3288204
ainus liigutus	1885049	3088102	3288203
ainus liiklusvahend	1885300	3088353	3288202
ainus linn	1886596	3089649	3288201
ainus lohutus	1887928	3090981	3288200
ainus loll	1888248	3091301	3288199
ainus lootus	1764531	2967583	3288038
ainus lõbu	1891437	3094490	3288198
ainus lüli	1895299	3098352	3288196
ainus maailmas	1764539	2967591	3288004
ainus matš	1901600	3104653	3288195
ainus medal	1901686	3104739	3288194
ainus meediakanal	1901940	3104993	3288193
ainus meedium	1902007	3105060	3288192
ainus meelelahutus	1902489	3105542	3288191
ainus miinus	1905366	3108419	3288190
ainus moodus	1907193	3110246	3288189
ainus motiiv	1907739	3110792	3288188
ainus märge	1914085	3117138	3288183
ainus märk	1914224	3117277	3288182
ainus mõte	1911687	3114740	3288186
ainus mõõdik	1912561	3115614	3288185
ainus mööndus	1915376	3118429	3288181
ainus naiskond	1916884	3119937	3288180
ainus nõrkus	1920434	3123487	3288179
ainus ohver	1923951	3127004	3288177
ainus olend	1924574	3127627	3288176
ainus operaator	1926528	3129581	3288175
ainus osanik	1928045	3131098	3288173
ainus osariik	1928112	3131165	3288172
ainus otstarve	1929431	3132484	3288171
ainus paik	1930897	3133950	3288167
ainus patt	1935233	3138286	3288165
ainus pereliige	1937639	3140692	3288162
ainus pidur	1938740	3141793	3288161
ainus piirang	1939467	3142520	3288160
ainus piisk	1939899	3142952	3288158
ainus pisar	1941675	3144728	3288157
ainus pluss	1942836	3145889	3288156
ainus poeg	1942966	3146019	3288155
ainus pood	2074035	3277089	3146842, 3288272
ainus privileeg	1946653	3149706	3288153
ainus probleem	1764529	2967581	3288036
ainus puhkepäev	1949381	3152434	3288152
ainus punkt	1950024	3153077	3288151
ainus puudujääk	1950628	3153681	3288150
ainus puudus	1950826	3153879	3288148
ainus puudutus	1950935	3153988	3288147
ainus päevaleht	1953672	3156725	3288144
ainus pääs	1954693	3157746	3288141
ainus põhjendus	1952154	3155207	3288145
ainus põhjus	1764521	2967573	3288023
ainus reaalsus	1960788	3163841	3288137
ainus religioon	1962708	3165761	3288136
ainus relv	1962837	3165890	3288135
ainus riigikeel	1964612	3167665	3288134
ainus riik	1764527	2967579	3288034
ainus rivaal	1966465	3169518	3288133
ainus rohi	1966657	3169710	3288132
ainus rõõm	1968279	3171332	3288131
ainus ründaja	1969384	3172437	3274924
ainus sarnasus	1972724	3175777	3288128
ainus saun	1972875	3175928	3288127
ainus sekund	1975138	3178191	3288126
ainus seletus	1975255	3178308	3288125
ainus sent	1976278	3179331	3288124
ainus siht	1977316	3180369	3288123
ainus silmapilk	2066459	3269513	3288268, 3181317
ainus sissepääs	1979440	3182493	3288121
ainus sissetulek	1979534	3182587	3288120
ainus soov	1981931	3184984	3288119
ainus soovitus	1982151	3185204	3288117
ainus sponsor	1983096	3186149	3288116
ainus spordiala	1983176	3186229	3288115
ainus staar	1983561	3186614	3288114
ainus start	1983930	3186983	3288113
ainus stiimul	1984359	3187412	3288112
ainus sugulane	1984984	3188037	3288111
ainus sõiduvahend	1989293	3192346	3288109
ainus söögikord	1991618	3194671	3288262
ainus süüdlane	1994183	3197236	3288105
ainus tabamus	1995148	3198201	3288103
ainus tagatis	1996272	3199325	3270129, 3288102
ainus takistus	1997284	3200337	3288101
ainus teadaolev	2000682	3203735	3288099
ainus telekanal	2004246	3207299	3288096
ainus tilk	2007668	3210721	3288095
ainus tingimus	2007814	3210867	3288094
ainus transpordivahend	2011357	3214410	3288091
ainus trump	2012315	3215368	3288090
ainus tundemärk	2015172	3218225	3288089
ainus tuttav	2017325	3220378	3288086
ainus tõde	2017984	3221037	3288085
ainus tõend	2018137	3221190	3288082
ainus tõrge	2019325	3222378	3288081
ainus tütar	2025267	3228321	3288077
