EKI liik	EKI nimi	EKI kood	EKI väärtus	EKI keel	LEX nimi	LEX kood
etymkeel_tyyp	etymkeel_tyyp	germaani	germaani	et	language	gem
etymkeel_tyyp	etymkeel_tyyp	germaani	Germanic	en	language	gem
etymkeel_tyyp	etymkeel_tyyp	gooti	gooti keel	et	language	got
etymkeel_tyyp	etymkeel_tyyp	gooti	Gothic	en	language	got
etymkeel_tyyp	etymkeel_tyyp	gruusia	gruusia keel	et	language	kat
etymkeel_tyyp	etymkeel_tyyp	gruusia	Georgian	en	language	kat
etymkeel_tyyp	etymkeel_tyyp	grööni	grööni keel	et	language	kal
etymkeel_tyyp	etymkeel_tyyp	grööni	Greenlandic	en	language	kal
etymkeel_tyyp	etymkeel_tyyp	guaranii	guaranii keel	et	language	gug
etymkeel_tyyp	etymkeel_tyyp	guaranii	Guarani	en	language	gug
etymkeel_tyyp	etymkeel_tyyp	gutni	gutni keel	et	language	qbp
etymkeel_tyyp	etymkeel_tyyp	gutni	Gutnish	en	language	qbp
etymkeel_tyyp	etymkeel_tyyp	handi	handi keel	et	language	kca
etymkeel_tyyp	etymkeel_tyyp	havai	havai keel	et	language	haw
etymkeel_tyyp	etymkeel_tyyp	havai	Hawaiian	en	language	haw
etymkeel_tyyp	etymkeel_tyyp	heebrea	heebrea keel	et	language	heb
etymkeel_tyyp	etymkeel_tyyp	heebrea	Hebrew	en	language	heb
etymkeel_tyyp	etymkeel_tyyp	hiina	hiina keel	et	language	zho
etymkeel_tyyp	etymkeel_tyyp	hiina	Chinese	en	language	zho
etymkeel_tyyp	etymkeel_tyyp	hiliskreeka	hiliskreeka keel (2.-7. saj)	et	language	qah
etymkeel_tyyp	etymkeel_tyyp	hiliskreeka	Late Greek	en	language	qah
etymkeel_tyyp	etymkeel_tyyp	hilisladina	hilisladina keel	et	language	qai
etymkeel_tyyp	etymkeel_tyyp	hilisladina	Late Latin	en	language	qai
etymkeel_tyyp	etymkeel_tyyp	hindi	hindi keel	et	language	hin
etymkeel_tyyp	etymkeel_tyyp	hindi	Hindi	en	language	hin
etymkeel_tyyp	etymkeel_tyyp	hispaania	hispaania keel	et	language	spa
etymkeel_tyyp	etymkeel_tyyp	hispaania	Spanish	en	language	spa
etymkeel_tyyp	etymkeel_tyyp	hollandi	hollandi keel	et	language	nld
etymkeel_tyyp	etymkeel_tyyp	hollandi	Dutch	en	language	nld
etymkeel_tyyp	etymkeel_tyyp	ibo	ibo keel	et	language	ibo
etymkeel_tyyp	etymkeel_tyyp	ibo	Igbo	en	language	ibo
etymkeel_tyyp	etymkeel_tyyp	indoeuroopa	indoeuroopa	et	language	ine
etymkeel_tyyp	etymkeel_tyyp	indoneesia	Indoneesia keel	et	language	ind
etymkeel_tyyp	etymkeel_tyyp	indoneesia	Indonesian	en	language	ind
etymkeel_tyyp	etymkeel_tyyp	inglise	inglise keel	et	language	eng
etymkeel_tyyp	etymkeel_tyyp	inglise	English	en	language	eng
etymkeel_tyyp	etymkeel_tyyp	inuktituti	inuktituti keel	et	language	iku
etymkeel_tyyp	etymkeel_tyyp	inuktituti	Inuktituti	en	language	iku
etymkeel_tyyp	etymkeel_tyyp	islandi	islandi keel	et	language	isl
etymkeel_tyyp	etymkeel_tyyp	islandi	Icelandic	en	language	isl
etymkeel_tyyp	etymkeel_tyyp	isuri	isuri keel	et	language	izh
etymkeel_tyyp	etymkeel_tyyp	itaalia	itaalia keel	et	language	ita
etymkeel_tyyp	etymkeel_tyyp	itaalia	Italian	en	language	ita
etymkeel_tyyp	etymkeel_tyyp	jaapani	jaapani keel	et	language	jpn
etymkeel_tyyp	etymkeel_tyyp	jaapani	Japanese	en	language	jpn
etymkeel_tyyp	etymkeel_tyyp	jidga	jidga keel	et	language	ydg
etymkeel_tyyp	etymkeel_tyyp	jidga	Yidgha	en	language	ydg
etymkeel_tyyp	etymkeel_tyyp	jidiš	jidiši keel	et	language	yid
etymkeel_tyyp	etymkeel_tyyp	jidiš	Yidish	en	language	yid
etymkeel_tyyp	etymkeel_tyyp	joruba	joruba keel	et	language	yor
etymkeel_tyyp	etymkeel_tyyp	yoruba	Yoruba	en	language	yor
etymkeel_tyyp	etymkeel_tyyp	kabardi kabardi keel	et	language	kab
etymkeel_tyyp	etymkeel_tyyp	kabardi	Kabardian	en	language	kab
etymkeel_tyyp	etymkeel_tyyp	kamassi	kamassi keel	et	language	xas
etymkeel_tyyp	etymkeel_tyyp	kamassi	Kamassian keel	en	language	xas
etymkeel_tyyp	etymkeel_tyyp	kariibi	kariibi keel	et	language	car
etymkeel_tyyp	etymkeel_tyyp	kariibi	Caribbean	en	language	car
etymkeel_tyyp	etymkeel_tyyp	karjala	karjala keel	et	language	krl
etymkeel_tyyp	etymkeel_tyyp	karjala	Karelian	en	language	krl
etymkeel_tyyp	etymkeel_tyyp	kasahhi	kasahhi keel	et	language	kaz
etymkeel_tyyp	etymkeel_tyyp	kasahhi	Kazakh	en	language	kaz
etymkeel_tyyp	etymkeel_tyyp	kele	kele keel	et	language	keb
etymkeel_tyyp	etymkeel_tyyp	kele	Kélé	en	language	keb
etymkeel_tyyp	etymkeel_tyyp	katalaani	katalaani keel	et	language	cat
etymkeel_tyyp	etymkeel_tyyp	keskhiina	keskhiina keel	et	language	ltc
etymkeel_tyyp	etymkeel_tyyp	keskhiina	Middle Chinese	en	language	ltc
etymkeel_tyyp	etymkeel_tyyp	keskhollandi	keskhollandi keel	et	language	dum
etymkeel_tyyp	etymkeel_tyyp	keskhollandi	Middle Dutch	en	language	dum
etymkeel_tyyp	etymkeel_tyyp	keskindia	keskindia keel	et	language	qaj
etymkeel_tyyp	etymkeel_tyyp	keskkreeka	keskaja kreeka keel	et	language	qaa
etymkeel_tyyp	etymkeel_tyyp	keskkreeka	Medieval Greek	en	language	qaa
etymkeel_tyyp	etymkeel_tyyp	keskladina	keskaja ladina keel	et	language	qak
etymkeel_tyyp	etymkeel_tyyp	keskladina	Medieval Latin	en	language	qak
etymkeel_tyyp	etymkeel_tyyp	keskprantsuse	keskprantsuse keel	et	language	frm
etymkeel_tyyp	etymkeel_tyyp	keskprantsuse	Middle French	en	language	frm
etymkeel_tyyp	etymkeel_tyyp	keskpärsia	keskpärsia keel	et	language	qal
etymkeel_tyyp	etymkeel_tyyp	keskpärsia	Middle Persian	en	language	qal
etymkeel_tyyp	etymkeel_tyyp	keskülemsaksa	keskülemsaksa keel	et	language	gmh
etymkeel_tyyp	etymkeel_tyyp	keskülemsaksa	Middle High German	en	language	gmh
etymkeel_tyyp	etymkeel_tyyp	ketšua	ketšua keel	et	language	que
etymkeel_tyyp	etymkeel_tyyp	ketšua	Quechua	en	language	que
etymkeel_tyyp	etymkeel_tyyp	kimbundu	kimbundu	et	language	kmb
etymkeel_tyyp	etymkeel_tyyp	kimbundu	Kimbundu (North Mbundu)	en	language	kmb
etymkeel_tyyp	etymkeel_tyyp	kirgiisi	kirgiisi keel	et	language	kir
etymkeel_tyyp	etymkeel_tyyp	kirgiisi	Kirghiz	en	language	kir
etymkeel_tyyp	etymkeel_tyyp	kirikuladina	kirikuladina (keel)	et	language	qam
