LEX nimi	LEX kood	LEX väärtus	LEX keel	LEX väärtuse liik
language	afr	afrikaani keel	est	full
language	qab	alamsaksa keel	est	full
language	sqi	albaania keel	est	full
language	ara	araabia keel	est	full
language	arw	aravaki	est	full
language	aze	aserbaidžaani keel	est	full
language	qbk	Austraalia keeled	est	full
language	ave	avesta keel	est	full
language	bft	balti keel (tiibeti keelerühmas)	est	full
language	qad	baltisaksa murre	est	full
language	bam	bambara keel (Malis)	est	full
language	qbl	bantu keeled	est	full
language	ben	bengali keel	est	full
language	ber	berberi keel	est	full
language	xdk	dharuki	est	full
language	enh	eenetsi keel	est	full
language	qae	eestirootsi murre	est	full
language	qaf	eesti-vadja	est	full
language	egy	egiptuse	est	full
language	myv	ersa keel	est	full
language	gez	etioopia keel	est	full
language	eve	eveeni keel	est	full
language	evn	evengi keel	est	full
language	qag	frangi keel	est	full
language	gla	gaeli keel	est	full
language	gem	germaani	est	full
language	got	gooti keel	est	full
language	kat	gruusia keel	est	full
language	kal	grööni keel	est	full
language	kca	handi keel	est	full
language	haw	havai keel	est	full
language	heb	heebrea keel	est	full
language	zho	hiina keel	est	full
language	qah	hiliskreeka keel (2.-7. saj)	est	full
language	qai	hilisladina keel	est	full
language	hin	hindi keel	est	full
language	spa	hispaania keel	est	full
language	nld	hollandi keel	est	full
language	ine	indoeuroopa	est	full
language	ind	Indoneesia keel	est	full
language	eng	inglise keel	est	full
language	isl	islandi keel	est	full
language	izh	isuri keel	est	full
language	ita	itaalia keel	est	full
language	jpn	jaapani keel	est	full
language	yid	jidiši keel	est	full
language	xas	kamassi keel	est	full
language	car	kariibi keel	est	full
language	krl	karjala keel	est	full
language	kaz	kasahhi keel	est	full
language	cat	katalaani keel	est	full
language	dum	keskhollandi keel	est	full
language	qaj	keskindia keel	est	full
language	qaa	keskaja kreeka keel	est	full
language	qak	keskaja ladina keel	est	full
language	frm	keskprantsuse keel	est	full
language	qal	keskpärsia keel	est	full
language	gmh	keskülemsaksa keel	est	full
language	que	ketšua keel	est	full
language	kmb	kimbundu	est	full
language	kir	kirgiisi keel	est	full
language	qam	kirikuladina (keel)	est	full
language	chu	kirikusalaavi (vanaslaavi) keel	est	full
language	kom	komi keel	est	full
language	kon	kongo keel	est	full
language	ell	kreeka keel	est	full
language	crh	krimmitatari keel	est	full
language	cym	kõmri keel	est	full
language	qwm	kõptšaki keel	est	full
language	lat	ladina keel	est	full
language	lit	leedu keel	est	full
language	liv	liivi keel	est	full
language	qan	liivi keele Salatsi murre	est	full
language	lav	läti keel	est	full
language	qao	läänemeresoome	est	full
language	qap	läänemeresoome-mordva	est	full
language	qaq	läänemeresoome-permi	est	full
language	qar	läänemeresoome-saami	est	full
language	qas	läänemeresoome-volga	est	full
language	lud	lüüdi keel	est	full
language	mlg	malagassi keel	est	full
language	msa	malai keel	est	full
language	mal	malajalami keel	est	full
language	div	maldiivi keel	est	full
language	mns	mansi keel	est	full
language	mri	maoori keel	est	full
language	chm	mari keel	est	full
language	qat	meditsiiniladina keelend	est	full
language	mic	mikmaki keel	est	full
language	mdf	mokša	est	full
language	mon	mongoli keel	est	full
language	nah	nahua keel	est	full
language	naq	nama (endise nimega hotentoti) keel	est	full
language	yrk	neenetsi keel	est	full
language	nep	nepaali keel	est	full
language	nio	nganassaani keel	est	full
language	nor	norra keel	est	full
language	oss	osseedi keel	est	full
language	pol	poola keel	est	full
language	por	portugali keel	est	full
language	pim	pouhatani keel	est	full
language	fra	prantsuse keel	est	full
language	qau	provansi	est	full
language	prg	preisi keel	est	full
language	fas	pärsia	est	full
language	qav	rahvaladina keel	est	full
language	qbm	romaani keeled	est	full
language	swe	rootsi keel	est	full
language	ron	rumeenia keel	est	full
language	qaw	saami keel	est	full
language	smn	Inari saami keel	est	full
language	sms	koltasaami keel	est	full
language	smj	Lule saami keel	est	full
language	sma	lõunasaami keel	est	full
language	sje	Pite saami keel	est	full
language	sjt	turjasaami keel	est	full
language	deu	saksa keel	est	full
language	srh	sarikoli keel	est	full
language	qbn	semi keeled	est	full
language	hbs	serbohorvaadi keel	est	full
language	dak	siuu	est	full
language	qbo	slaavi keeled	est	full
language	slv	sloveeni keel	est	full
language	fin	soome keel	est	full
language	qac	soome-ugri	est	full
language	swa	suahiili keel	est	full
language	zul	suulu keel	est	full
language	sel	sölkupi keel	est	full
language	syr	süüria keel	est	full
language	dan	taani keel	est	full
language	tgk	tadžiki keel	est	full
language	tgl	tagalogi keel	est	full
language	tha	tai keel	est	full
language	tnq	taino keel	est	full
language	tam	tamili keel	est	full
language	tat	tatari keel	est	full
language	bod	tiibeti keel	est	full
language	ton	tonga keel	est	full
language	chg	tšagatai (vanausbeki) keel	est	full
language	ces	tšehhi keel	est	full
language	ckt	tšuktši keel	est	full
language	chv	tšuvaši keel	est	full
language	qax	tupi-guaranii keel	est	full
language	qbj	turgi keeled	est	full
language	tur	türgi keel	est	full
language	udm	udmurdi keel	est	full
language	uig	uiguuri keel	est	full
language	ukr	ukraina	est	full
language	hun	ungari keel	est	full
language	urd	urdu keel	est	full
language	qay	uurali	est	full
language	qaz	uuskreeka keel	est	full
language	qba	uusladina keel	est	full
language	vot	vadja keel	est	full
language	bel	valgevene keel	est	full
language	qbb	vanaegiptuse keel	est	full
language	qbc	vanafriisi keel	est	full
language	qbd	vanahispaania keel	est	full
language	qbe	vanaindia keel	est	full
language	ang	vanainglise keel	est	full
language	qbf	vanasaksi keel	est	full
language	fro	vanaprantsuse keel	est	full
language	non	vanapõhja keel	est	full
language	qbg	vanarootsi keel	est	full
language	qbh	vanatürgi keel	est	full
language	qbi	vanavene keel	est	full
language	goh	vanaülemsaksa keel	est	full
language	rus	vene keel	est	full
language	vep	vepsa keel	est	full
language	vie	vietnami keel	est	full
language	est	eesti	est	full
language	san	sanskriti	est	full
language	pli	paali	est	full
language	pan	pandžabi	est	full
language	abk	abhaasi	est	wordweb
language	afr	afrikaani	est	wordweb
language	qab	alamsaksa	est	wordweb
language	sqi	albaania	est	wordweb
language	ara	araabia	est	wordweb
language	arw	aravaki	est	wordweb
language	aze	aserbaidžaani	est	wordweb
language	qbk	Austraalia keeled	est	wordweb
language	ave	avesta	est	wordweb
language	bft	balti (tiibeti keelerühmas)	est	wordweb
language	qad	baltisaksa murre	est	wordweb
language	bam	bambara (Malis)	est	wordweb
language	qbl	bantu keeled	est	wordweb
language	ben	bengali	est	wordweb
language	ber	berberi	est	wordweb
language	xdk	dharuki	est	wordweb
language	enh	eenetsi	est	wordweb
language	qae	eestirootsi murre	est	wordweb
language	qaf	eesti-vadja	est	wordweb
language	egy	egiptuse	est	wordweb
language	myv	ersa	est	wordweb
language	gez	etioopia	est	wordweb
language	eve	eveeni	est	wordweb
language	evn	evengi	est	wordweb
language	qag	frangi	est	wordweb
language	gla	gaeli	est	wordweb
language	gem	germaani	est	wordweb
language	got	gooti	est	wordweb
