EKI liik	EKI nimi	EKI kood	EKI väärtus	EKI keel	LEX nimi	LEX kood
sl_tyyp	sõnaliik	O	ordinal	en	pos	ord
sl_tyyp	sõnaliik	P	P	et	pos	pron
sl_tyyp	sõnaliik	P	pronoomen, asesõna	et	pos	pron
sl_tyyp	sõnaliik	P	pronoun	en	pos	pron
sl_tyyp	sõnaliik	S	S	et	pos	s
sl_tyyp	sõnaliik	S	substantiiv, nimisõna	et	pos	s
sl_tyyp	sõnaliik	S	substantive	en	pos	s
sl_tyyp	sõnaliik	V	V	et	pos	v
sl_tyyp	sõnaliik	V	verb, tegusõna	et	pos	v
sl_tyyp	sõnaliik	V	verb	en	pos	v
sl_tyyp	sõnaliik	x	X	et	pos	x
sl_tyyp	sõnaliik	adj	adj	et	pos	adj
sl_tyyp	sõnaliik	adj + ID	indekl adj	et	pos	adj + ID
sl_tyyp	sõnaliik	adv	adv	et	pos	adv
sl_tyyp	sõnaliik	adjg	adjg, ag	et	pos	adjg
sl_tyyp	sõnaliik	interj	interj	et	pos	interj
sl_tyyp	sõnaliik	konj	konj	et	pos	konj
sl_tyyp	sõnaliik	postp	postp	et	pos	postp
sl_tyyp	sõnaliik	prep	prep	et	pos	prep
sl_tyyp	sõnaliik	num	num	et	pos	num
sl_tyyp	sõnaliik	pron	pron	et	pos	pron
sl_tyyp	sõnaliik	pron + ID	indekl pron	et	pos	pron + ID
sl_tyyp	sõnaliik	s	s	et	pos	s
sl_tyyp	sõnaliik	v	v	et	pos	v
sl_tyyp	sõnaliik	adj + ID	käändumatu omadussõna	et	pos	adj + ID
sl_tyyp	sõnaliik	postp	postpositsioon, tagasõna	et	pos	postp
sl_tyyp	sõnaliik	prep	prepositsioon, eessõna	et	pos	prep
sl_tyyp	sõnaliik	pron + ID	käändumatu asesõna	et	pos	pron + ID
sl_tyyp	sõnaliik	x	erivormiline sõna	et	pos	x
sl_tyyp	sõnaliik	adj + ID	indeclinable adjective	en	pos	adj + ID
sl_tyyp	sõnaliik	adp	postposition, preposition	en	pos	adp
sl_tyyp	sõnaliik	postp	postposition	en	pos	postp
sl_tyyp	sõnaliik	prep	preposition	en	pos	prep
sl_tyyp	sõnaliik	pron + ID	indeclinable pronoun	en	pos	pron + ID
staatus	Staatus	komisjoni kinnitatud	komisjoni kinnitatud	et	process_state	komisjoni kinnitatud
staatus	Staatus	komisjonis arutlusel	komisjonis arutlusel	et	process_state	komisjonis arutlusel
staatus	Staatus	terminiprobleem	terminiprobleem	et	meaning_state	terminiprobleem
tvtl_tyyp	tvtl_tyyp	vrd	võrdle	et	lex_rel_type	tvt:vrd
tvtl_tyyp	tvtl_tyyp	vt ka	vaata ka	et	lex_rel_type	tvt:vt ka
u_tyyp	uus märksõna	uus	uus märksõna	et	-	-
u_tyyp	uus märksõna	uus	new headword	en	-	-
var_tyyp	var_tyyp	var	/ variant	et	-	-
vk_tyyp	vk_tyyp	mitm	pluural, mitmus	et	display_morph	mitm
vk_tyyp	vk_tyyp	mitm	plural	en	display_morph	mitm
vk_tyyp	vk_tyyp	ains	singular, ainsus	et	display_morph	ains
vk_tyyp	vk_tyyp	ains	singular	en	display_morph	ains
vk_tyyp	vk_tyyp	om	singular genitiiv, ainsuse omastav	et	display_morph	om
vk_tyyp	vk_tyyp	om	singular genitive	en	display_morph	om
